Year,Name,team,salary,bloodType,height,weight,UniformNum,position,Games,AtBats,Hit,HR,Win,Lose,Save,Hold
2011年度,平野　恵一,Tigers,16000,B型,169,66,5,内野手,142,542,160,1,NA,NA,NA,NA
2011年度,久保田　智之,Tigers,10000,AB型,181,94,30,投手,23,NA,NA,NA,1,2,0,6
2011年度,スタンリッジ,Tigers,10000,不明,191,110,55,投手,25,NA,NA,NA,9,7,0,0
2011年度,下柳　剛,Tigers,9000,O型,184,91,42,投手,6,NA,NA,NA,0,2,0,0
2011年度,安藤　優也,Tigers,7700,O型,184,92,16,投手,1,NA,NA,NA,0,0,0,0
2011年度,関本　賢太郎,Tigers,7500,O型,186,93,3,内野手,100,224,59,2,NA,NA,NA,NA
2011年度,能見　篤史,Tigers,5000,AB型,180,72,14,投手,29,NA,NA,NA,12,9,0,1
2011年度,川崎　雄介,Tigers,4300,O型,180,84,62,投手,6,NA,NA,NA,0,0,0,0
2011年度,渡辺　亮,Tigers,4300,O型,175,70,12,投手,56,NA,NA,NA,5,1,0,12
2011年度,メッセンジャー,Tigers,4200,不明,198,119,54,投手,25,NA,NA,NA,12,7,0,0
2011年度,桧山　進次郎,Tigers,4000,B型,177,77,24,外野手,69,62,17,1,NA,NA,NA,NA
2011年度,藤井　彰人,Tigers,4000,AB型,170,78,50,捕手,99,265,59,2,NA,NA,NA,NA
2011年度,福原　忍,Tigers,3600,O型,180,93,28,投手,55,NA,NA,NA,2,3,0,11
2011年度,浅井　良,Tigers,3500,O型,176,80,8,外野手,63,65,9,0,NA,NA,NA,NA
2011年度,狩野　恵輔,Tigers,3500,B型,181,79,99,外野手,10,12,2,0,NA,NA,NA,NA
2011年度,林　威助,Tigers,3200,B型,178,80,31,外野手,63,90,15,1,NA,NA,NA,NA
2011年度,岩田　稔,Tigers,3000,O型,179,88,21,投手,25,NA,NA,NA,9,13,0,0
2011年度,西村　憲,Tigers,2300,B型,182,82,43,投手,21,NA,NA,NA,1,0,0,1
2011年度,筒井　和也,Tigers,2000,O型,184,88,20,投手,12,NA,NA,NA,0,0,0,3
2011年度,俊介,Tigers,1800,A型,177,72,7,外野手,108,190,46,1,NA,NA,NA,NA
2011年度,加藤　康介,Tigers,1700,O型,181,83,63,投手,4,NA,NA,NA,0,0,0,0
2011年度,榎田　大樹,Tigers,1500,AB型,179,83,13,投手,62,NA,NA,NA,3,3,1,33
2011年度,大和,Tigers,1500,A型,177,64,0,内野手,47,51,12,0,NA,NA,NA,NA
2011年度,上本　博紀,Tigers,1300,O型,173,63,4,内野手,67,108,27,3,NA,NA,NA,NA
2011年度,藤原　正典,Tigers,1300,B型,182,82,15,投手,19,NA,NA,NA,0,0,0,3
2011年度,坂　克彦,Tigers,1300,A型,180,84,35,内野手,3,5,0,0,NA,NA,NA,NA
2011年度,秋山　拓巳,Tigers,1200,A型,187,90,27,投手,2,NA,NA,NA,0,1,0,0
2011年度,蕭　一傑,Tigers,1170,A型,180,88,19,投手,2,NA,NA,NA,0,1,0,0
2011年度,新井　良太,Tigers,1100,AB型,187,89,32,内野手,43,26,5,0,NA,NA,NA,NA
2011年度,岡崎　太一,Tigers,1100,O型,180,80,57,捕手,7,4,0,0,NA,NA,NA,NA
2011年度,鶴　直人,Tigers,1100,A型,180,78,46,投手,5,NA,NA,NA,0,2,0,0
2011年度,鄭　凱文,Tigers,1000,不明,176,77,40,投手,3,NA,NA,NA,1,0,0,0
2011年度,小嶋　達也,Tigers,1000,A型,181,78,29,投手,36,NA,NA,NA,1,2,0,5
2011年度,白仁田　寛和,Tigers,900,B型,189,83,64,投手,2,NA,NA,NA,0,0,0,1
2011年度,柴田　講平,Tigers,900,A型,176,75,00,外野手,104,188,51,0,NA,NA,NA,NA
2011年度,小宮山　慎二,Tigers,900,A型,178,84,39,捕手,38,53,11,0,NA,NA,NA,NA
2011年度,清水　誉,Tigers,900,A型,178,78,45,捕手,11,11,1,0,NA,NA,NA,NA
2011年度,野原　将志,Tigers,700,A型,184,87,37,内野手,2,1,0,0,NA,NA,NA,NA
2011年度,若竹　竜士,Tigers,650,A型,180,86,49,投手,2,NA,NA,NA,0,0,0,0
2011年度,野原　祐也,Tigers,600,B型,177,84,94,外野手,4,4,0,0,NA,NA,NA,NA
2011年度,荒木　郁也,Tigers,600,B型,180,75,58,内野手,2,0,0,0,NA,NA,NA,NA
2011年度,黒瀬　春樹,Tigers,600,B型,180,83,66,内野手,2,2,0,0,NA,NA,NA,NA
2011年度,清原　大貴,Tigers,580,O型,180,76,65,投手,1,NA,NA,NA,0,1,0,0
2011年度,田上　健一,Tigers,540,A型,180,70,61,外野手,6,16,4,0,NA,NA,NA,NA
2011年度,森田　一成,Tigers,520,A型,185,93,69,内野手,20,32,8,1,NA,NA,NA,NA
2011年度,清水　直行,DeNA,28000,A型,180,85,17,投手,7,NA,NA,NA,2,4,0,0
2011年度,三浦　大輔,DeNA,25000,B型,183,88,18,投手,18,NA,NA,NA,5,6,0,0
2011年度,村田　修一,DeNA,22000,AB型,177,88,25,内野手,144,530,134,20,NA,NA,NA,NA
2011年度,スレッジ,DeNA,18000,不明,183,86,3,外野手,95,339,88,20,NA,NA,NA,NA
2011年度,大家　友和,DeNA,10000,O型,185,91,44,投手,7,NA,NA,NA,0,6,0,0
2011年度,森本　稀哲,DeNA,8000,B型,185,81,5,外野手,48,134,25,1,NA,NA,NA,NA
2011年度,吉村　裕基,DeNA,6400,B型,183,94,31,外野手,81,220,44,5,NA,NA,NA,NA
2011年度,山本　省吾,DeNA,6200,B型,177,77,15,投手,21,NA,NA,NA,2,11,0,0
2011年度,石川　雄洋,DeNA,6000,O型,183,78,7,内野手,125,466,121,0,NA,NA,NA,NA
2011年度,リーチ,DeNA,6000,不明,196,99,24,投手,8,NA,NA,NA,1,7,0,0
2011年度,山口　俊,DeNA,5400,O型,187,90,11,投手,59,NA,NA,NA,2,6,34,1
2011年度,渡辺　直人,DeNA,5300,AB型,173,73,2,内野手,126,403,107,1,NA,NA,NA,NA
2011年度,金城　龍彦,DeNA,5000,A型,177,82,1,外野手,108,324,88,3,NA,NA,NA,NA
2011年度,真田　裕貴,DeNA,4900,AB型,181,83,30,投手,53,NA,NA,NA,2,0,0,3
2011年度,江尻　慎太郎,DeNA,3780,O型,187,78,27,投手,65,NA,NA,NA,2,2,0,22
2011年度,藤田　一也,DeNA,3550,O型,175,75,23,内野手,96,188,57,1,NA,NA,NA,NA
2011年度,下園　辰哉,DeNA,3200,B型,179,81,50,外野手,85,298,79,4,NA,NA,NA,NA
