heibei,chiku,ekitoho,yachin
41.4,14,10,8.6
20.28,16,9,6.1
18.2,28,10,4.2
19.87,16,13,5.7
20.28,19,7,6.3
23.18,20,14,5.4
19.87,17,12,6.25
19.87,20,17,5.8
