Name,team,height,weight,salary,勝利,セーブ
菊池　保則,Carp,180,103,2900,1,1
島内　颯太郎,Carp,180,83,1200,1,0
能見　篤史,Tigers,180,74,9500,1,1
藤浪　晋太郎,Tigers,197,100,6300,1,0
岩田　稔,Tigers,179,95,3800,1,0
藤川　球児,Tigers,185,90,20000,1,2
伊藤　和雄,Tigers,186,95,750,1,0
石田　健大,DeNA,180,85,7000,1,0
平田　真吾,DeNA,182,85,1260,1,0
エスコバー,DeNA,188,102,16000,1,0
大竹　寛,Giants,184,96,5000,1,0
田中　豊樹,Giants,180,98,420,1,0
髙橋　優貴,Giants,178,82,2400,1,0
鍬原　拓也,Giants,178,85,1650,1,0
高梨　雄平,Giants,175,81,4800,1,2
小笠原　慎之介,Dragons,180,95,1900,1,0
谷元　圭介,Dragons,167,72,6000,1,0
吉見　一起,Dragons,182,90,9000,1,0
清水　達也,Dragons,182,83,800,1,0
藤嶋　健人,Dragons,177,85,2000,1,1
山本　拓実,Dragons,167,71,1100,1,0
寺島　成輝,Swallows,183,90,880,1,0
高橋　奎二,Swallows,178,73,1700,1,0
中澤　雅人,Swallows,179,80,1600,1,0
山中　浩史,Swallows,175,82,2000,1,0
長谷川　宙輝,Swallows,175,80,650,1,0
歳内　宏明,Swallows,184,90,600,1,0
津森　宥紀,Softbank,177,81,1100,1,0
椎野　新,Softbank,196,90,2600,1,0
森　唯斗,Softbank,176,94,46000,1,32
十亀　剣,Lions,183,88,7000,1,0
内海　哲也,Lions,186,93,7500,1,0
榎田　大樹,Lions,180,90,4800,1,0
本田　圭佑,Lions,180,80,1600,1,0
ノリン,Lions,193,113,6000,1,0
平良　海馬,Lions,173,100,1200,1,1
森原　康平,Eagles,185,88,4500,1,4
安樂　智大,Eagles,186,87,1400,1,0
ブセニッツ,Eagles,185,81,9000,1,18
ＤＪ．ジョンソン,Eagles,193,104,5995,1,0
宋　家豪,Eagles,185,92,4500,1,0
津留﨑　大成,Eagles,177,86,1000,1,0
辛島　航,Eagles,173,72,6200,1,1
石橋　良太,Eagles,175,77,2600,1,0
池田　駿,Eagles,174,78,1450,1,0
久保　裕也,Eagles,177,78,1800,1,0
宮城　大弥,Orix,171,83,770,1,0
吉田　一将,Orix,191,95,3400,1,1
竹安　大知,Orix,183,83,1800,1,0
飯田　優也,Orix,187,92,1600,1,0
齋藤　綱記,Orix,182,89,700,1,0
榊原　翼,Orix,180,90,1900,1,0
鈴木　優,Orix,181,83,530,1,1
金子　弌大,Fighters,180,77,18000,1,0
上原　健太,Fighters,190,83,1700,1,0
井口　和朋,Fighters,175,79,2650,1,0
村田　透,Fighters,183,84,4000,1,0
秋吉　亮,Fighters,183,84,10000,1,12
唐川　侑己,Lotte,181,80,6200,1,0
東條　大樹,Lotte,178,85,3000,1,0
有吉　優樹,Lotte,178,87,3400,1,0
田中　靖洋,Lotte,183,88,3500,1,0
チェン・グァンユウ,Lotte,179,75,2160,1,0
矢崎　拓也,Carp,176,90,1000,0,0
今村　猛,Carp,183,99,8000,0,0
中田　廉,Carp,189,95,2300,0,0
一岡　竜司,Carp,179,81,7300,0,1
Ｋ．ジョンソン,Carp,193,95,27250,0,0
高橋　樹也,Carp,176,82,750,0,0
田中　法彦,Carp,173,83,450,0,0
藤井　黎來,Carp,182,92,350,0,0
中村　恭平,Carp,185,91,1900,0,0
スコット,Carp,190,84,5775,0,0
モンティージャ,Carp,190,116,880,0,0
中田　賢一,Tigers,181,85,3500,0,0
尾仲　祐哉,Tigers,173,73,950,0,0
谷川　昌希,Tigers,175,84,900,0,0
浜地　真澄,Tigers,185,90,850,0,0
福永　春吾,Tigers,185,97,680,0,0
エドワーズ,Tigers,196,108,8700,0,0
守屋　功輝,Tigers,184,88,2300,0,0
齋藤　友貴哉,Tigers,184,92,950,0,0
小林　慶祐,Tigers,187,86,1400,0,0
望月　惇志,Tigers,190,90,1150,0,0
桑原　謙太朗,Tigers,184,90,4500,0,0
小川　一平,Tigers,182,80,700,0,0
横山　雄哉,Tigers,183,84,700,0,0
石井　将希,Tigers,180,88,300,0,0
阪口　皓亮,DeNA,187,83,610,0,0
山﨑　康晃,DeNA,179,88,35000,0,6
三上　朋也,DeNA,190,90,8500,0,0
櫻井　周斗,DeNA,178,86,820,0,0
進藤　拓也,DeNA,186,90,660,0,0
砂田　毅樹,DeNA,180,85,5600,0,0
武藤　祐太,DeNA,178,85,2000,0,0
藤岡　好明,DeNA,177,81,1750,0,0
中川　虎大,DeNA,178,79,450,0,0
笠井　崇正,DeNA,179,90,660,0,0
古川　侑利,Giants,178,86,1600,0,0
藤岡　貴裕,Giants,182,93,2500,0,0
ビエイラ,Giants,193,113,5500,0,0
直江　大輔,Giants,184,77,570,0,0
高木　京介,Giants,183,90,3000,0,1
宮國　椋丞,Giants,186,92,2740,0,0
横川　凱,Giants,190,95,580,0,0
沼田　翔平,Giants,175,65,260,0,0
堀岡　隼人,Giants,183,87,460,0,0
ディプラン,Giants,190,81,260,0,0
橋本　侑樹,Dragons,180,71,1200,0,0
佐藤　優,Dragons,187,85,1700,0,0
山井　大介,Dragons,179,86,4650,0,0
三ツ間　卓也,Dragons,183,92,1600,0,0
鈴木　博志,Dragons,181,95,2200,0,0
ゴンサレス,Dragons,188,93,5000,0,0
濱田　達郎,Dragons,185,95,600,0,0
マルク,Dragons,184,83,300,0,0
木下　雄介,Dragons,183,80,700,0,1
奥川　恭伸,Swallows,184,82,1600,0,0
中尾　輝,Swallows,180,83,1550,0,0
大下　佑馬,Swallows,179,83,1500,0,0
清水　昇,Swallows,180,84,1400,0,0
近藤　一樹,Swallows,183,80,6700,0,1
星　知弥,Swallows,183,78,1500,0,0
イノーア,Swallows,188,93,6540,0,0
坂本　光士郎,Swallows,179,75,1000,0,0
クック,Swallows,190,97,6000,0,0
山田　大樹,Swallows,189,99,2000,0,0
大西　広樹,Swallows,175,84,720,0,0
金久保　優斗,Swallows,183,74,500,0,0
五十嵐　亮太,Swallows,178,95,4000,0,0
久保　拓眞,Swallows,175,75,700,0,0
風張　蓮,Swallows,182,88,1400,0,0
今野　龍太,Swallows,178,87,600,0,0
加治屋　蓮,Softbank,185,89,4100,0,0
岩嵜　翔,Softbank,190,88,7500,0,0
尾形　崇斗,Softbank,181,83,360,0,0
杉山　一樹,Softbank,193,95,1200,0,0
渡邉　雄大,Softbank,186,80,300,0,0
古谷　優人,Softbank,175,76,700,0,0
泉　圭輔,Softbank,187,74,1250,0,0
奥村　政稔,Softbank,176,76,1000,0,0
川原　弘之,Softbank,188,99,1200,0,0
松本　裕樹,Softbank,182,82,1200,0,0
齊藤　大将,Lions,178,75,1400,0,0
野田　昇吾,Lions,166,71,2700,0,0
佐野　泰雄,Lions,177,83,2300,0,0
伊藤　翔,Lions,177,74,770,0,0
田村　伊知郎,Lions,173,83,700,0,0
松岡　洸希,Lions,180,81,750,0,0
武隈　祥太,Lions,180,90,4800,0,0
中塚　駿太,Lions,191,106,710,0,0
國場　翼,Lions,181,83,790,0,0
近藤　弘樹,Eagles,186,96,1000,0,0
Ｊ．Ｔ．シャギワ,Eagles,190,90,8720,0,1
藤平　尚真,Eagles,185,85,1500,0,0
釜田　佳直,Eagles,177,77,1500,0,0
福井　優也,Eagles,178,85,2300,0,0
鈴木　翔天,Eagles,185,82,700,0,0
福山　博之,Eagles,172,70,1500,0,0
荒西　祐大,Orix,178,88,1580,0,0
村西　良太,Orix,174,76,1000,0,0
東明　大貴,Orix,178,77,1800,0,0
富山　凌雅,Orix,178,84,1000,0,0
Ｋ－鈴木,Orix,186,88,2200,0,0
ディクソン,Orix,195,84,16300,0,16
比嘉　幹貴,Orix,177,77,2600,0,0
本田　仁海,Orix,181,74,500,0,0
海田　智行,Orix,179,81,4150,0,0
澤田　圭佑,Orix,178,96,2700,0,0
金田　和之,Orix,184,86,1400,0,0
左澤　優,Orix,171,75,1000,0,0
漆原　大晟,Orix,182,85,300,0,2
神戸　文也,Orix,182,85,1000,0,0
生田目　翼,Fighters,176,89,1000,0,0
浦野　博司,Fighters,179,70,2800,0,0
吉田　輝星,Fighters,175,84,1030,0,0
西村　天裕,Fighters,177,90,2100,0,0
福田　俊,Fighters,171,76,700,0,0
ロドリゲス,Fighters,196,108,7000,0,0
鈴木　健矢,Fighters,176,82,850,0,0
公文　克彦,Fighters,173,84,6000,0,1
吉川　光夫,Fighters,178,79,3500,0,0
吉田　侑樹,Fighters,188,87,950,0,0
望月　大希,Fighters,187,85,770,0,0
北浦　竜次,Fighters,182,94,700,0,0
佐々木　千隼,Lotte,181,83,1970,0,0
東妻　勇輔,Lotte,172,80,1700,0,0
山本　大貴,Lotte,182,90,1000,0,0
松永　昂大,Lotte,175,82,7500,0,0
石崎　剛,Lotte,183,91,1340,0,0
南　昌輝,Lotte,182,88,3000,0,0
成田　翔,Lotte,170,78,670,0,0
澤村　拓一,Lotte,184,102,15400,0,1
チェン・ウェイン,Lotte,183,90,3000,0,0
ジャクソン,Lotte,185,88,3000,0,1
永野　将司,Lotte,181,82,900,0,0
大嶺　祐太,Lotte,184,80,1470,0,0
古谷　拓郎,Lotte,184,80,460,0,0
