Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
藤井　皓哉,Carp,650,投手,6,181,86,AB型,右,左,岡山,1996-07-29,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ｋ．ジョンソン,Carp,27250,投手,6,193,95,不明,左,左,アメリカ,1984-10-14,42,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,0,7,0,0,0,237,51.2,60,3,25,1,35,38,35,1.65,4.03
島内　颯太郎,Carp,1200,投手,2,180,83,O型,右,右,福岡,1996-10-14,43,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54,1,0,0,4,1,166,37.2,29,1,28,1,48,23,19,1.51,3.07
林　晃汰,Carp,600,内野手,2,182,94,O型,右,左,和歌山,2000-11-16,44,0.125,4,8,8,1,0,0,0,0,0,5,0,1,0.125,0.25,0.375,-1.04,-1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桒原　樹,Carp,550,内野手,6,180,87,O型,右,左,静岡,1996-07-04,45,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-2.7,-2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高橋　樹也,Carp,750,投手,5,176,82,A型,左,左,岩手,1997-06-21,46,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,0,0,0,0,0,94,18.2,31,3,8,1,15,18,17,2.09,5.05
山口　翔,Carp,750,投手,3,181,82,B型,右,右,熊本,1999-04-28,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
アドゥワ　誠,Carp,2200,投手,4,196,85,O型,右,右,熊本,1998-10-02,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
正隨　優弥,Carp,700,外野手,2,180,96,A型,右,右,広島,1996-04-02,49,0.143,7,8,7,1,1,1,0,1,0,1,0,1,0.25,0.571,0.821,2.78,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
髙橋　大樹,Carp,750,外野手,8,181,92,O型,右,右,大阪,1994-05-11,50,0.2,14,16,15,3,0,0,0,1,0,5,0,0,0.25,0.2,0.45,1.46,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
小園　海斗,Carp,1000,内野手,2,178,84,AB型,右,左,兵庫,2000-06-07,51,0,3,6,6,0,0,0,0,0,0,1,0,0,0,0,0,-2.74,-2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
鈴木　寛人,Carp,600,投手,1,186,79,O型,右,右,茨城,2001-10-07,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
戸田　隆矢,Carp,1300,投手,9,181,84,A型,左,左,兵庫,1993-06-10,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
韮澤　雄也,Carp,500,内野手,1,178,80,AB型,右,左,新潟,2001-05-20,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
松山　竜平,Carp,8500,外野手,13,176,96,B型,右,左,鹿児島,1985-09-18,55,0.277,108,425,404,112,9,67,0,17,1,72,0,11,0.306,0.416,0.722,4.22,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
中神　拓都,Carp,500,内野手,2,175,90,O型,右,右,岐阜,2000-05-29,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
田中　法彦,Carp,450,投手,2,173,83,B型,右,右,三重,2000-10-19,57,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,8,2,1,0,1,0,0,0,0,1,4.62
藤井　黎來,Carp,350,投手,3,182,92,A型,右,右,秋田,1999-09-17,58,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,14,3,4,0,1,0,4,2,2,1.67,1.45
