Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
會澤　翼,Carp,9200,捕手,13,177,91,B型,右,右,茨城,1988-04-13,27,0.277,126,447,376,104,12,63,2,58,10,81,3,6,0.387,0.439,0.826,6.38,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
床田　寛樹,Carp,650,投手,3,181,85,A型,左,左,兵庫,1995-03-01,28,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,7,6,0,0,0.538,590,139.2,131,17,48,5,101,54,46,1.28,4.33
ケムナ　誠,Carp,700,投手,2,192,95,B型,右,右,アメリカ,1995-06-05,29,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,5,1,1,0,1,0,1,0,0,2,4.12
一岡　竜司,Carp,7700,投手,8,179,86,O型,右,右,福岡,1991-01-11,30,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,0,0,0,16,0,133,31,29,1,10,2,18,11,10,1.26,3.54
石原　慶幸,Carp,7000,捕手,18,177,90,A型,右,右,岐阜,1979-09-07,31,0.196,31,67,56,11,1,5,0,5,0,18,5,1,0.258,0.286,0.544,2.14,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
白濱　裕太,Carp,650,捕手,16,180,90,A型,右,右,大阪,1985-10-31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
菊池　涼介,Carp,24000,内野手,8,171,72,A型,右,右,東京,1990-03-11,33,0.261,138,619,547,143,13,48,14,41,1,102,28,5,0.313,0.406,0.719,4.4,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高橋　昂也,Carp,800,投手,3,181,90,A型,左,左,埼玉,1998-09-27,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
三好　匠,Carp,1050,内野手,8,174,75,A型,右,右,福岡,1993-06-07,35,0.182,43,92,77,14,2,7,1,9,0,28,6,1,0.267,0.273,0.54,2.26,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
塹江　敦哉,Carp,650,投手,5,178,86,A型,左,左,香川,1997-02-21,36,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,0,1,0,0,0,95,20.2,20,4,14,1,23,14,14,1.65,5.59
野間　峻祥,Carp,3400,外野手,5,180,83,B型,右,左,兵庫,1993-01-28,37,0.248,123,353,314,78,2,16,14,27,5,56,6,5,0.317,0.331,0.648,3.88,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
赤松　真人,Carp,2025,外野手,15,182,70,O型,右,右,京都,1982-09-06,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
飯田　哲矢,Carp,900,投手,5,182,80,A型,左,左,神奈川,1991-03-28,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
磯村　嘉孝,Carp,1100,捕手,9,178,89,A型,右,右,愛知,1992-11-01,40,0.278,65,117,108,30,4,21,0,5,0,24,3,3,0.307,0.472,0.779,4.56,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
藤井　皓哉,Carp,750,投手,5,181,88,AB型,右,左,岡山,1996-07-29,41,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.21,0,0,0,0,0,41,6.1,13,0,9,0,8,10,10,3.47,4.86
ジョンソン,Carp,32700,投手,5,193,93,不明,左,左,アメリカ,1984-10-14,42,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59,11,8,0,0,0.579,650,156.2,132,12,58,4,132,50,45,1.21,3.58
島内　颯太郎,Carp,1000,投手,1,180,78,O型,右,右,福岡,1996-10-14,43,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,0,0,0,0,0,127,28.2,19,1,19,2,33,15,14,1.33,3.36
林　晃汰,Carp,600,内野手,1,182,90,O型,右,左,和歌山,2000-11-16,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桒原　樹,Carp,550,内野手,5,180,80,O型,右,左,静岡,1996-07-04,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高橋　樹也,Carp,900,投手,4,176,81,A型,左,左,岩手,1997-06-21,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
山口　翔,Carp,600,投手,2,181,75,B型,右,右,熊本,1999-04-28,47,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85,1,3,0,0,0.25,117,26,25,3,13,3,21,14,14,1.46,4.74
アドゥワ　誠,Carp,2200,投手,3,196,83,O型,右,右,熊本,1998-10-02,48,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32,3,5,0,0,0.375,404,91.2,101,14,27,4,52,52,44,1.4,4.99
正隨　優弥,Carp,700,外野手,1,180,92,A型,右,右,広島,1996-04-02,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
髙橋　大樹,Carp,650,外野手,7,181,86,O型,右,右,大阪,1994-05-11,50,0.279,27,48,43,12,1,3,0,4,0,11,1,0,0.34,0.419,0.759,4.91,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
小園　海斗,Carp,800,内野手,1,178,84,AB型,右,左,兵庫,2000-06-07,51,0.213,58,197,188,40,4,16,1,6,1,42,2,1,0.241,0.324,0.565,2.53,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
庄司　隼人,Carp,700,内野手,10,175,76,A型,右,左,静岡,1991-06-21,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
戸田　隆矢,Carp,1600,投手,8,181,80,A型,左,左,兵庫,1993-06-10,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
船越　涼太,Carp,650,捕手,4,178,85,O型,右,右,千葉,1993-11-26,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
松山　竜平,Carp,10000,外野手,12,176,96,B型,右,左,鹿児島,1985-09-18,55,0.259,110,327,294,76,6,49,0,29,2,42,0,7,0.327,0.374,0.701,4.29,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
中神　拓都,Carp,500,内野手,1,175,85,O型,右,右,岐阜,2000-05-29,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
田中　法彦,Carp,450,投手,1,173,82,B型,右,右,三重,2000-10-19,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
レグナルト,Carp,4600,投手,1,188,103,不明,左,左,アメリカ,1988-12-13,58,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.34,6,3,0,15,0.667,265,59.1,53,7,34,3,67,25,22,1.47,3.91
菊池　保則,Carp,1100,投手,12,180,80,O型,右,左,茨城,1989-09-18,59,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1,3,0,15,0.25,240,61,39,4,23,0,43,21,19,1.02,3.6
永井　敦士,Carp,500,外野手,2,178,88,B型,右,右,埼玉,2000-01-10,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
坂倉　将吾,Carp,700,捕手,3,176,84,A型,右,左,千葉,1998-05-29,61,0.23,51,64,61,14,1,7,0,3,0,19,0,0,0.266,0.344,0.61,3.19,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ヘルウェグ,Carp,10000,投手,2,200,106,不明,右,右,アメリカ,1988-10-29,62,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,13,3.2,2,0,1,0,2,0,0,0.82,2.85
